"GEOID","NAME","poverty_rateE","poverty_rateM","unemployment_rateE","unemployment_rateM","no_health_insuranceE","no_health_insuranceM","education_less_than_hsE","education_less_than_hsM","median_ageE","median_ageM","black_populationE","black_populationM","white_populationE","white_populationM","american_indian_alaska_native_aloneE","american_indian_alaska_native_aloneM","asian_aloneE","asian_aloneM","native_hawaiian_other_pacific_islander_aloneE","native_hawaiian_other_pacific_islander_aloneM","male_65_69E","male_65_69M","male_70_74E","male_70_74M","male_75_79E","male_75_79M","male_80_84E","male_80_84M","male_85plusE","male_85plusM","female_65_69E","female_65_69M","female_70_74E","female_70_74M","female_75_79E","female_75_79M","female_80_84E","female_80_84M","female_85plusE","female_85plusM","summary_est","summary_moe","year","total_65plus","poverty_rate_pct","unemployment_rate_pct","no_health_insurance_pct","education_less_than_hs_pct","black_population_pct","white_population_pct","american_indian_pct","asian_pct","pacific_islander_pct","pct_65plus","black_65plus_pct","white_65plus_pct","asian_65plus_pct"
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia",882,381,79,65,124,167,50,65,30.9,2.5,213,100,2660,544,0,12,359,201,0,12,45,50,0,12,9,17,20,32,0,12,90,69,35,41,12,21,0,12,42,55,3299,499,2013,253,26.7353743558654,2.39466505001516,3.75871476204911,1.51561079114883,6.45650197029403,80.6304940891179,0,10.8820854804486,0,7.6689906032131,84.1897233201581,1051.38339920949,141.897233201581
"11001001200","Census Tract 12, District of Columbia, District of Columbia",338,159,61,52,21,35,3,8,39.3,3.2,226,124,4134,380,0,12,384,178,0,12,207,94,49,51,98,71,33,51,82,51,136,77,41,43,134,90,70,46,97,75,4985,388,2013,947,6.78034102306921,1.22367101303912,0.421263791374122,0.0601805416248746,4.53360080240722,82.9287863590772,0,7.70310932798395,0,18.9969909729188,23.8648363252376,436.536430834213,40.5491024287223
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia",215,115,124,70,91,74,52,43,36.9,5.9,1119,216,595,186,0,12,185,128,0,12,37,32,31,27,39,26,15,18,58,52,66,37,80,51,72,41,69,41,37,25,2548,278,2013,504,8.43799058084772,4.86656200941915,3.57142857142857,2.04081632653061,43.9167974882261,23.3516483516484,0,7.26059654631083,0,19.7802197802198,222.02380952381,118.055555555556,36.7063492063492
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia",254,114,405,202,286,167,31,29,34.2,6.1,2727,313,438,288,19,25,65,67,0,12,94,60,0,12,10,16,21,23,40,37,89,49,21,26,22,25,69,42,85,48,3668,467,2013,451,6.9247546346783,11.041439476554,7.79716466739367,0.845147219193021,74.3456924754635,11.9411123227917,0.517993456924755,1.77208287895311,0,12.2955288985823,604.656319290466,97.1175166297118,14.4124168514412
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia",831,435,288,156,241,130,16,32,35.4,1.2,2656,612,1721,669,15,24,94,84,0,17,122,93,71,44,19,20,37,32,40,39,120,71,183,117,108,59,21,22,21,22,5509,721,2013,742,15.0844073334543,5.22780903975313,4.37465964784897,0.290433835541841,48.2120166999455,31.2397894354692,0.272281720820476,1.70629878380831,0,13.4688691232529,357.951482479784,231.940700808625,12.6684636118598
"11001002900","Census Tract 29, District of Columbia, District of Columbia",413,204,160,74,107,78,117,69,30.9,1,1363,336,2355,290,9,16,98,55,0,12,153,75,0,12,14,21,18,22,15,17,104,64,10,16,71,41,16,24,27,25,4746,477,2013,428,8.70206489675516,3.37126000842815,2.25453013063633,2.46523388116308,28.7189211967973,49.6207332490518,0.189633375474083,2.06489675516224,0,9.0181205225453,318.457943925234,550.233644859813,22.8971962616822
"11001003100","Census Tract 31, District of Columbia, District of Columbia",356,308,137,73,209,131,63,52,28.8,5.2,1072,282,1439,431,138,182,84,74,0,12,77,49,36,35,71,54,0,12,49,29,87,48,72,64,23,24,54,62,17,20,3280,423,2013,486,10.8536585365854,4.17682926829268,6.3719512195122,1.92073170731707,32.6829268292683,43.8719512195122,4.20731707317073,2.5609756097561,0,14.8170731707317,220.576131687243,296.090534979424,17.283950617284
"11001003200","Census Tract 32, District of Columbia, District of Columbia",721,233,207,105,271,118,161,104,36.2,2.9,2621,359,1615,342,22,32,140,91,0,12,151,87,18,23,15,22,29,32,63,72,52,41,85,65,153,87,47,49,34,28,4734,408,2013,647,15.2302492606675,4.37262357414449,5.72454583861428,3.40092944655682,55.3654414871145,34.1149133924799,0.464723278411491,2.95732995352767,0,13.6670891423743,405.100463678516,249.613601236476,21.6383307573416
"11001003302","Census Tract 33.02, District of Columbia, District of Columbia",421,180,184,80,156,103,30,62,35,1.8,1284,188,628,118,0,12,102,59,0,12,49,28,47,47,10,22,39,30,0,12,16,20,34,24,27,29,8,12,45,33,2202,223,2013,275,19.1189827429609,8.35603996366939,7.08446866485014,1.36239782016349,58.3106267029973,28.519527702089,0,4.63215258855586,0,12.488646684832,466.909090909091,228.363636363636,37.0909090909091
"11001004300","Census Tract 43, District of Columbia, District of Columbia",412,230,141,79,30,33,0,12,36.4,4.2,951,212,1955,428,0,12,118,73,0,12,77,59,30,35,12,18,23,35,36,37,38,35,25,39,50,47,21,25,31,35,3287,465,2013,343,12.5342257377548,4.28962579860055,0.912686340127776,0,28.9321569820505,59.4767264983267,0,3.58989960450259,0,10.4350471554609,277.259475218659,569.97084548105,34.402332361516
